Genus,Tandon_1,Tandon_10,Tandon_11,Tandon_12,Tandon_13,Tandon_14,Tandon_15,Tandon_16,Tandon_17,Tandon_18,Tandon_19,Tandon_2,Tandon_20,Tandon_21,Tandon_22,Tandon_23,Tandon_24,Tandon_25,Tandon_26,Tandon_27,Tandon_28,Tandon_29,Tandon_3,Tandon_30,Tandon_31,Tandon_32,Tandon_33,Tandon_34,Tandon_35,Tandon_36,Tandon_37,Tandon_38,Tandon_39,Tandon_4,Tandon_40,Tandon_41,Tandon_42,Tandon_43,Tandon_44,Tandon_45,Tandon_46,Tandon_47,Tandon_48,Tandon_49,Tandon_5,Tandon_50,Tandon_51,Tandon_52,Tandon_53,Tandon_54,Tandon_55,Tandon_56,Tandon_57,Tandon_58,Tandon_59,Tandon_6,Tandon_60,Tandon_61,Tandon_62,Tandon_63,Tandon_64,Tandon_65,Tandon_66,Tandon_67,Tandon_68,Tandon_69,Tandon_7,Tandon_70,Tandon_71,Tandon_72,Tandon_73,Tandon_74,Tandon_75,Tandon_76,Tandon_77,Tandon_78,Tandon_79,Tandon_8,Tandon_80,Tandon_9
Parabacteroides,0.00858,0.80307,0.52079,1.71603,0.7142,0.03563,0.03013,0.03311,0.52859,0.70159,0.64015,0.33116,0.14781,0.09303,0.23398,0.11029,0,0.12419,0.40911,0.17801,2.18654,0.10625,0.02916,1.76233,0.12856,0.1097,1.04089,0.1526,0,0.32162,0.12877,1.58124,1.18036,0.13967,0.03496,0.01618,0.11008,0.23523,0.72019,0.05749,0.28962,1.38759,0.00249,0.01515,0.14648,0.04066,0.00386,0.75953,0.47286,0.08399,0.22801,0.59161,0.70739,0,0.31826,0.00464,0.74082,0.29088,0.30791,0.904,0.8043,10.4422,1.44067,0.01289,0.85257,0.02407,1.44625,0.37965,0.00092,0.07391,0.11337,0.40246,0.04938,0.21837,0.10499,0.12411,0.42287,0.01653,0.09993,0
Paraprevotella,0.01645,0.66495,0,0.0112,0.00047,0,0.03464,0.00348,0.14455,0.36591,0.25597,0.00288,0.02208,0.0155,0,0.02677,0.06743,0.01882,0,0.13449,0.13745,0,0.00153,0,0.00144,0.03953,0.31558,0.01938,0,0.08898,0.02744,0.00187,0,0.05626,0.00437,0,0.00729,0.00697,0.66582,0,0.01782,0.11761,0,0.00418,0.04102,0.00319,0,0.54454,0.01141,0,0,0.22005,0.02392,0.00097,0.06348,0,0.47566,0,0.09237,0.57932,0.7187,0.61541,0.03785,0,0.06443,0.03617,0.47142,0.01196,0,0.18023,0.00115,0.12468,0.00436,0.00369,0.0014,0.00163,0,0.00292,0.00118,0
Parasutterella,0,0.07456,0,0.00996,0.00047,0,0,0,0.21469,0.01018,0.00237,0.00144,0,0.00119,0.01457,0.00535,0,0,0.00955,0.01319,0,0.011,0.87488,0,0.00144,0,0.02441,0.00242,0,0.00191,0,0.00749,0.00116,0.00776,0.00343,0.00462,0.03062,0.01902,0.78011,0.00048,0.01559,0.00863,0,0.02037,0,0.01914,0,0.01942,0,0.01035,0,0.00042,0.01367,0,0.006,0,0.00202,0.03439,0.00684,0.66972,0.44044,0.02728,0.00541,0,0.37904,0.00468,0.00715,0.00149,0,0.00259,0,0,0.00218,0.00737,0.014,0.00082,0.00313,0,0.00705,0
Peptostreptococcus,0.00072,0,0.00343,0.01556,0.0019,0,0.00075,0.00348,0.00071,0.00309,0,0,0,0.00239,0.00086,0.00482,0,0,0.00217,0,0,0,0.01228,0.00217,0.00289,0.00198,0,0.00161,0.00737,0.00064,0.00211,0.01123,0.00116,0,0,0,0.00073,0.00254,0.00222,0.00285,0,0.00108,0.00332,0,0.00146,0.0008,0.00096,0,0.00326,0.00183,0.02304,0.00042,0,0.00487,0.00257,0.00042,0.01214,0,0.00114,0,0.00069,0,0.00386,0.00184,0.05154,0.00165,0.00068,0,0.00367,0,0,0.00109,0.00871,0.00092,0,0.00245,0.00157,0.00194,0,0.01663
Prevotella,77.1976,41.069,46.5935,10.6066,75.1257,75.3344,78.728,39.8815,75.3747,64.6727,80.9632,48.6739,50.3757,72.9546,81.2164,56.774,88.6238,58.37,55.2179,77.9206,28.7958,80.4962,1.78659,0.06802,77.4828,68.1201,55.5226,66.2953,73.2045,72.017,73.7762,34.6189,25.0169,89.4983,51.2565,91.5825,77.8878,65.73,0.33291,53.2209,84.1335,64.4073,59.8579,63.498,80.4063,55.756,83.2255,59.2047,45.238,60.579,65.28,47.3568,69.1313,73.3973,46.0856,82.9621,59.5446,80.4861,68.5738,0.66208,0.40336,35.6542,55.4228,77.8081,19.7659,77.4785,19.9285,55.9623,74.7355,54.5582,72.5427,72.9959,82.3617,53.0161,84.9618,67.1713,41.0844,65.4227,78.3621,0.27122
Pseudoflavonifractor,0,0,0.00228,0.00187,0,0.00038,0,0.00523,0,0,0.00142,0.00864,0.00075,0,0,0.00161,0,0.00502,0.0013,0.01055,0.00231,0.00203,0,0,0,0.00692,0.00349,0,0,0.00127,0,0.01123,0.00815,0,0.00406,0.00023,0.00073,0.00127,0,0,0.0078,0.01618,0,0.00784,0.00439,0.00558,0,0.00033,0.00326,0.00061,0.00485,0.00042,0.0057,0.00146,0.02745,0,0.00202,0.00393,0,0,0,0.00218,0.00077,0,0.00107,0.0011,0.00102,0.00374,0.00092,0.00259,0,0.00219,0,0,0.0028,0.00163,0,0.00292,0,0
Pseudomonas,0.00215,0.00244,0,0.00436,0.00095,0.00227,0.00603,0.00871,0.00425,0.00123,0.00285,0.00144,0.00374,0,0.00514,0.00107,0,0,0,0,0.0104,0,0.2333,0.00036,0,0.00395,0,0,0,0.00191,0,0,0,0.01164,0,0,0,0.00254,0,0.00285,0.00223,0.00216,0.00166,0.00522,0.00586,0.0008,0.00482,0.00033,0,0,0,0.00042,0,0.00146,0.00086,0.00042,0.02631,0.00049,0.02167,0.00637,0.00347,0.00873,0.00077,0,0.00215,0,0.00068,0.00149,0.00458,0,0.00115,0.00109,0.00145,0.00276,0,0,0,0.00486,0,0
Ralstonia,0,0,0.04226,0.06844,0.00996,0.00114,0,0.00174,0,0,0,0,0.00112,0.0155,0,0.02409,0,0,0,0.00132,0.00809,0.00087,0.39293,0.00398,0,0.02273,0,0,0,0.00064,0,0,0.00116,0.00582,0.00218,0.00046,0.01604,0.00063,0,0,0,0.00108,0,0.01254,0.00439,0.02153,0.00193,0.02173,0.02609,0,0,0,0,0,0.01115,0.00042,0.07084,0.00147,0,0.00382,0.00797,0.02837,0.00386,0.00061,0.00591,0.00014,0.00647,0.04185,0.00367,0,0.00288,0,0.00581,0.09122,0.0154,0.04001,0.06578,0.00389,0.0047,0.01279
Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0.85102,8.22017,2.64163,8.46752,4.10075,3.11371,1.32399,7.75571,1.22156,2.84432,0.87949,2.16984,1.1918,2.99948,2.11783,6.11739,1.92836,5.50057,4.8607,1.18935,1.52584,1.04283,4.41276,7.80257,5.33751,4.04601,2.18987,2.34958,3.67569,0.86124,2.64919,5.96755,6.83189,1.92535,3.47813,0.12547,1.28159,2.39863,4.55529,2.4238,2.00503,5.53847,1.28297,2.95119,3.13036,4.89882,1.90326,8.33407,5.01068,4.0965,1.92478,0.87895,1.70069,2.53422,2.45861,1.23819,0.91894,1.79194,1.64105,4.69697,6.72927,0.29679,2.3939,1.08351,6.64125,1.11643,2.83463,2.96395,3.1615,1.37569,0.32228,3.35419,1.64844,7.14529,1.56639,1.31054,0.94285,3.7513,1.33437,6.24576
